catalogNumber;genus;specificEpithet;scientificNameAuthorship;acceptedNameUsage;family;countryCode;locality;year;recordedBy;Image GUID
Sheet-0061906;Potamogeton;acutifolius;Link;Potamogeton acutifolius Link;Potamogetonaceae;CH;Bonfol, ponds area;1965;Attinger;6337b61d-1812-47c5-b1c6-e48467f8ae02
Sheet-0061950;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Brevine;0;n.s.;65434e01-ef16-4fcb-aafd-cc1cc9c42f2f
Sheet-0061916;Potamogeton;acutifolius;Link;Potamogeton acutifolius Link;Potamogetonaceae;CH;Fishing pond of Bonfol, north-east of Pruntrut;1965;Markgraf V.;d17fe6b6-ba75-441f-a05e-22888d8a704e
BERN-0065019;Androsace;carnea;L.;Androsace laggeri A.Huet;Primulaceae;CH;Fouly, Bernardo;1832;Thomas;8eb563e0-ebd1-453a-b820-62f7180b15b0
BERN-0065019_1;Androsace;carnea;L.;Androsace laggeri A.Huet;Primulaceae;CH;Fouly, Bernardo;1832;Thomas;8ae9cdf6-b5bf-4693-b5e8-869ee54273f5
Sheet-0061929;Potamogeton;coloratus;Hornem.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Galmiz;1943;Berger E.;bbc7909b-539b-4e8a-8c4b-8a81a1922887
Sheet-0061930;Potamogeton;coloratus;Hornem.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Galmiz;1951;Berger E.;945f4393-0121-4e87-9e2b-ddae3f6b44fe
Sheet-0061933;Potamogeton;coloratus;Hornem.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Galmiz;1951;Berger E.;60f6f770-7d02-4c3f-af63-c23eb4a9b7ca
BERN-0065012;Taraxacum;Braun-Blanquettii f. agyrocarpum;van Soest;Taraxacum braun-blanquetii f. achyrocarpum Soest;Asteraceae;FR;Garden of the International Mediterranean and Alpine Geobotany Station (S.I.G.M.A.);1962;Sutter Ruben;c10fcedf-e2c5-4a04-a529-c9b2dc3535f4
BERN-0065013;Taraxacum;roseo-pedatum;van Soest;Taraxacum roseopedatum Soest;Asteraceae;FR;Garden of the International Mediterranean and Alpine Geobotany Station (S.I.G.M.A.);1962;Sutter Ruben;aae1b924-91cd-4bd3-b9a7-aeea998f791e
BERN-0065013_1;Taraxacum;roseo-pedatum;van Soest;Taraxacum roseopedatum Soest;Asteraceae;FR;Garden of the International Mediterranean and Alpine Geobotany Station (S.I.G.M.A.);1962;Sutter Ruben;7373b85d-edde-4c86-8eb3-50c1fb354cea
Sheet-0061967;Potamogeton;oblongus;Viv.;Potamogeton pectinatus L.;Potamogetonaceae;CH;Gola di Lago, north of Tesserete;1989;n.s.;63cf398d-c11c-4aa8-81b6-5316f7fc0f1c
BERN-0065008;Pulmonaria;helvetica;Bolliger;Pulmonaria helvetica Bolliger;Boraginaceae;CH;Gorge of the Carrouge stream, on the right bank of the stream;1975;Bolliger Markus;d6be459a-f2d1-4a03-b82f-f167afd6a742
Sheet-0061943;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Graeppelensee, northwest corner;1952;Sulger Bueel Ernst;9808c2cf-b9e3-4583-be39-cc1d8551dfb4
Sheet-0061940;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Graeppelensee, Toggenburg;1969;n.s.;52dcf2c6-4a57-4422-9250-d40458522dc8
Sheet-0061949;Potamogeton;praelongus;Wulfen;Potamogeton praelongus Wulfen;Potamogetonaceae;CH;Graeppelensee, Toggenburg;1969;Gerber Hch.;251f33de-f405-4877-a124-159509adc056
Sheet-0061937;Potamogeton;plantagineus Du;Croz ex Roem. & Schult.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Gurbeacavas?;1869;n.s.;07ae1e90-3f70-4151-be1b-48bc05a3d991
Sheet-0061932;Potamogeton;coloratus;Hornem.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Ins, west of the road to Murten;1943;Berger E.;3a3c8f0e-da69-419b-93a9-f17cfc8a82f8
BERN-0065018;Odontites;vulcanicus;Bolliger;Odontites vulcanicus Bolliger;Orobanchaceae;MA;Jbel Mischliffen;1988;Bolliger Markus | Moser Daniel M.;d1356a2f-89f5-417e-8467-c2d1c4bd9c76
